Date,hour,screening_hall,screening_mode,free,sold
21.07.2019, 11:50 ,Αίθουσα 2,Μεταγ/μενη,265,17
21.07.2019, 12:30 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",304,5
21.07.2019, 13:00 ,Αίθουσα 3,Μεταγ/μενη,283,0
21.07.2019, 14:20 ,Αίθουσα 2,Μεταγ/μενη,282,0
21.07.2019, 14:50 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
21.07.2019, 15:20 ,Αίθουσα 3,Μεταγ/μενη,283,0
21.07.2019, 15:45 ,Αίθουσα 6,2d,198,0
21.07.2019, 16:40 ,Αίθουσα 2,Μεταγ/μενη,282,0
21.07.2019, 17:10 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",303,6
21.07.2019, 17:40 ,Αίθουσα 3,Μεταγ/μενη,283,0
21.07.2019, 18:15 ,Αίθουσα 6,Μεταγ/μενη,198,0
21.07.2019, 19:00 ,Αίθουσα 2,Μεταγ/μενη,278,4
21.07.2019, 19:30 ,Αίθουσα 1,IMAX 3D,309,0
21.07.2019, 20:00 ,Αίθουσα 3,Μεταγ/μενη,278,5
21.07.2019, 21:10 ,Αίθουσα 8 (Θερινή),Μεταγ/μενη,135,6
21.07.2019, 21:20 ,Αίθουσα 2,2d,282,0
21.07.2019, 21:50 ,Αίθουσα 1,IMAX 3D,306,3
21.07.2019, 22:30 ,Αίθουσα 3,2d,281,2
22.07.2019, 14:50 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
22.07.2019, 15:20 ,Αίθουσα 3,Μεταγ/μενη,283,0
22.07.2019, 15:45 ,Αίθουσα 6,2d,198,0
22.07.2019, 16:40 ,Αίθουσα 2,Μεταγ/μενη,282,0
22.07.2019, 17:10 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
22.07.2019, 17:40 ,Αίθουσα 3,Μεταγ/μενη,283,0
22.07.2019, 18:15 ,Αίθουσα 6,2d,198,0
22.07.2019, 19:00 ,Αίθουσα 2,Μεταγ/μενη,282,0
22.07.2019, 19:30 ,Αίθουσα 1,IMAX 3D,309,0
22.07.2019, 20:00 ,Αίθουσα 3,Μεταγ/μενη,281,2
22.07.2019, 21:10 ,Αίθουσα 8 (Θερινή),Μεταγ/μενη,141,0
22.07.2019, 21:20 ,Αίθουσα 2,2d,277,5
22.07.2019, 21:50 ,Αίθουσα 1,IMAX 3D,307,2
22.07.2019, 22:30 ,Αίθουσα 3,2d,283,0
23.07.2019, 14:50 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",307,2
23.07.2019, 15:20 ,Αίθουσα 3,Μεταγ/μενη,280,3
23.07.2019, 15:45 ,Αίθουσα 6,2d,198,0
23.07.2019, 16:40 ,Αίθουσα 2,Μεταγ/μενη,280,2
23.07.2019, 17:10 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
23.07.2019, 17:40 ,Αίθουσα 3,Μεταγ/μενη,273,10
23.07.2019, 18:15 ,Αίθουσα 6,2d,194,4
23.07.2019, 19:00 ,Αίθουσα 2,Μεταγ/μενη,262,20
23.07.2019, 19:30 ,Αίθουσα 1,IMAX 3D,309,0
23.07.2019, 20:00 ,Αίθουσα 3,Μεταγ/μενη,269,14
23.07.2019, 21:10 ,Αίθουσα 8 (Θερινή),Μεταγ/μενη,110,31
23.07.2019, 21:20 ,Αίθουσα 2,2d,255,27
23.07.2019, 21:50 ,Αίθουσα 1,IMAX 3D,309,0
23.07.2019, 22:30 ,Αίθουσα 3,2d,273,10
24.07.2019, 14:50 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
24.07.2019, 15:20 ,Αίθουσα 3,Μεταγ/μενη,283,0
24.07.2019, 15:45 ,Αίθουσα 6,2d,198,0
24.07.2019, 16:40 ,Αίθουσα 2,Μεταγ/μενη,282,0
24.07.2019, 17:10 ,Αίθουσα 1,"Μεταγ/μενη, IMAX 3D",309,0
24.07.2019, 17:40 ,Αίθουσα 3,Μεταγ/μενη,283,0
24.07.2019, 18:15 ,Αίθουσα 6,2d,198,0
24.07.2019, 19:00 ,Αίθουσα 2,Μεταγ/μενη,280,2
24.07.2019, 19:30 ,Αίθουσα 1,IMAX 3D,309,0
24.07.2019, 20:00 ,Αίθουσα 3,Μεταγ/μενη,283,0
24.07.2019, 21:10 ,Αίθουσα 8 (Θερινή),Μεταγ/μενη,141,0
24.07.2019, 21:20 ,Αίθουσα 2,2d,278,4
24.07.2019, 21:50 ,Αίθουσα 1,IMAX 3D,309,0
24.07.2019, 22:30 ,Αίθουσα 3,2d,283,0
