date,starting_time,cinema_name,screening_hall,movie_title,free,sold
06 Αυγούστου 2019,19:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 6,(3D)(GR) LION KING,157,9
07 Αυγούστου 2019,19:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 6,(3D)(GR) LION KING,157,9
06 Αυγούστου 2019,20:00,ODEON STARCITY,ΑΙΘ.7 Vodafone,(3D)(GR) LION KING,148,1
07 Αυγούστου 2019,20:00,ODEON STARCITY,ΑΙΘ.7 Vodafone,(3D)(GR) LION KING,148,1
06 Αυγούστου 2019,20:00,ODEON TALOS,ΑΙΘΟΥΣΑ 3,(3D)(GR) LION KING,193,5
07 Αυγούστου 2019,20:00,ODEON TALOS,ΑΙΘΟΥΣΑ 3,(3D)(GR) LION KING,193,5
06 Αυγούστου 2019,20:00,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 7,(3D)(GR) LION KING,179,9
07 Αυγούστου 2019,20:00,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 7,(3D)(GR) LION KING,179,9
06 Αυγούστου 2019,19:30,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 8,(3D)(GR) LION KING,147,3
07 Αυγούστου 2019,19:30,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 8,(3D)(GR) LION KING,147,3
06 Αυγούστου 2019,21:30,NOVACINEMA ODEON ΓΛΥΦΑΔΑ,ΑΙΘ 1,(ENG) LION KING,306,-3
07 Αυγούστου 2019,21:30,NOVACINEMA ODEON ΓΛΥΦΑΔΑ,ΑΙΘ 1,(ENG) LION KING,306,-3
06 Αυγούστου 2019,21:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 1,(ENG) LION KING,325,11
07 Αυγούστου 2019,21:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 1,(ENG) LION KING,327,9
06 Αυγούστου 2019,21:30,ODEON STARCITY,ΑΙΘΟΥΣΑ 5,(ENG) LION KING,178,3
07 Αυγούστου 2019,21:30,ODEON STARCITY,ΑΙΘΟΥΣΑ 5,(ENG) LION KING,178,3
06 Αυγούστου 2019,21:30,ODEON TALOS,ΑΙΘΟΥΣΑ 5,(ENG) LION KING,171,1
07 Αυγούστου 2019,21:30,ODEON TALOS,ΑΙΘΟΥΣΑ 5,(ENG) LION KING,171,1
06 Αυγούστου 2019,21:30,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 4,(ENG) LION KING,359,9
07 Αυγούστου 2019,21:30,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 4,(ENG) LION KING,359,9
06 Αυγούστου 2019,21:30,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 9,(ENG) LION KING,237,7
07 Αυγούστου 2019,21:30,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 9,(ENG) LION KING,237,7
06 Αυγούστου 2019,19:10,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 2,(GR) TOY STORY 4,226,9
07 Αυγούστου 2019,19:10,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 2,(GR) TOY STORY 4,226,9
06 Αυγούστου 2019,19:30,ODEON STARCITY,ΑΙΘΟΥΣΑ 4,(GR) TOY STORY 4,123,3
07 Αυγούστου 2019,19:30,ODEON STARCITY,ΑΙΘΟΥΣΑ 4,(GR) TOY STORY 4,123,3
06 Αυγούστου 2019,19:10,ODEON TALOS,ΑΙΘΟΥΣΑ 6,(GR) TOY STORY 4,121,1
07 Αυγούστου 2019,19:10,ODEON TALOS,ΑΙΘΟΥΣΑ 6,(GR) TOY STORY 4,121,1
06 Αυγούστου 2019,19:10,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 3,(GR) TOY STORY 4,267,9
07 Αυγούστου 2019,19:10,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 3,(GR) TOY STORY 4,267,9
06 Αυγούστου 2019,19:10,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 4,(GR) TOY STORY 4,127,3
07 Αυγούστου 2019,19:10,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 4,(GR) TOY STORY 4,127,3
06 Αυγούστου 2019,18:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 3,(GR) ALADDIN,226,9
07 Αυγούστου 2019,18:30,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 3,(GR) ALADDIN,226,9
06 Αυγούστου 2019,19:00,NOVACINEMA ODEON ΓΛΥΦΑΔΑ,ΑΙΘ 1,(GR) LION KING,306,-3
07 Αυγούστου 2019,19:00,NOVACINEMA ODEON ΓΛΥΦΑΔΑ,ΑΙΘ 1,(GR) LION KING,306,-3
06 Αυγούστου 2019,19:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 1,(GR) LION KING,327,9
06 Αυγούστου 2019,18:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 4,(GR) LION KING,226,9
06 Αυγούστου 2019,20:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 5,(GR) LION KING,260,9
06 Αυγούστου 2019,21:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 8-ΘΕΡΙΝΟΣ,(GR) LION KING,207,13
07 Αυγούστου 2019,19:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 1,(GR) LION KING,327,9
07 Αυγούστου 2019,18:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 4,(GR) LION KING,226,9
07 Αυγούστου 2019,20:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 5,(GR) LION KING,260,9
07 Αυγούστου 2019,21:00,ODEON ESCAPE (ΙΛΙΟΝ) ,ΑΙΘΟΥΣΑ 8-ΘΕΡΙΝΟΣ,(GR) LION KING,211,9
06 Αυγούστου 2019,19:00,ODEON STARCITY,ΑΙΘΟΥΣΑ 5,(GR) LION KING,173,8
07 Αυγούστου 2019,19:00,ODEON STARCITY,ΑΙΘΟΥΣΑ 5,(GR) LION KING,167,14
06 Αυγούστου 2019,19:00,ODEON TALOS,ΑΙΘΟΥΣΑ 5,(GR) LION KING,171,1
07 Αυγούστου 2019,19:00,ODEON TALOS,ΑΙΘΟΥΣΑ 5,(GR) LION KING,171,1
06 Αυγούστου 2019,19:00,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 4,(GR) LION KING,355,13
07 Αυγούστου 2019,19:00,ODEON VESO MARE ,ΑΙΘΟΥΣΑ 4,(GR) LION KING,355,13
06 Αυγούστου 2019,21:00,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 2,(GR) LION KING,292,-3
06 Αυγούστου 2019,20:00,ODEON ΜΑΚΕΔΟΝΙΑ ,ΑΙΘΟΥΣΑ 3,(GR) LION KING,210,7
