date,starting_time,cinema_name,screening_hall,movie_title,free,sold
20191009,20:30,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 05,METALLICA & SAN FRANCISCO SYMPHONY: S&M²,152,91
20191013,20:30,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 05,METALLICA & SAN FRANCISCO SYMPHONY: S&M²,193,50
20191009,20:30,Village ΡΕΝΤΗ,ΑΙΘ 04,METALLICA & SAN FRANCISCO SYMPHONY: S&M²,275,65
20191009,20:30,Village Cosmos ΘΕΣΣ.,ΑΙΘ 08,METALLICA & SAN FRANCISCO SYMPHONY: S&M²,180,35
20191009,20:30,Village ΒΟΛΟΣ,ΑΙΘ 03,METALLICA & SAN FRANCISCO SYMPHONY: S&M²,143,10
20191002,20:15,Village ΑΤ ΤΗΕ MALL,VMax Sphera 7,ROGER WATERS US + THEM - DOLBY ATMOS,589,80
20191002,20:00,Village ΡΕΝΤΗ,ΑΙΘ 04,ROGER WATERS US + THEM - DOLBY ATMOS,329,11
20191002,20:00,Village Cosmos ΘΕΣΣ.,ΑΙΘ 05,ROGER WATERS US + THEM - DOLBY ATMOS,236,25
20191002,20:00,Village ΑΓ. ΔΗΜΗΤΡΙΟΣ,ΑΙΘ 02,ROGER WATERS US + THEM - DOLBY ATMOS,212,13
20190809,18:45,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,127,8
20190809,21:00,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,113,22
20190809,22:40,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 05,THE KITCHEN,229,14
20190809,23:20,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,127,8
20190810,18:45,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,125,10
20190810,21:00,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,127,8
20190810,22:40,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 05,THE KITCHEN,229,14
20190810,23:20,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,124,11
20190811,18:45,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,127,8
20190811,21:00,Village ΑΤ ΤΗΕ MALL,ΑΙΘ 12,THE KITCHEN,127,8
